timestep,P-1,P-2,P-3,P-4
178,0.09,0.1,0.11,0.02
179,0.11,0.1,0.11,0.01
180,0.1,0.1,0.11,0.01
181,0.11,0.1,0.11,0.01
182,0.09,0.1,0.1,0.02
183,0.11,0.1,0.11,0.02
184,0.09,0.1,0.11,0.02
185,0.1,0.1,0.11,0
186,0.1,0.1,0.11,0.01
187,0.09,0.1,0.11,0.01
188,0.09,0.1,0.11,0.01
189,0.1,0.1,0.11,0
190,0.1,0.1,0.11,0.01
191,0.11,0.1,0.11,0.01
192,0.1,0.1,0.11,0.02
193,0.11,0.1,0.11,0.01
194,0.09,0.1,0.11,0.01
195,0.09,0.1,0.11,0.01
196,0.11,0.1,0.11,0.02
197,0.09,0.1,0.11,0.02
198,0.11,0.1,0.11,0.01
199,0.1,0.1,0.11,0.01
200,0.11,0.1,0.11,0.01
201,0.09,0.1,0.1,0.02
202,0.11,0.1,0.11,0.02
203,0.09,0.1,0.11,0.02
204,0.1,0.1,0.11,0
205,0.1,0.1,0.11,0.01
206,0.09,0.1,0.11,0.01
207,0.09,0.1,0.11,0.01
208,0.1,0.1,0.11,0
209,0.1,0.1,0.11,0.01
210,0.11,0.1,0.11,0.01
211,0.1,0.1,0.11,0.02
212,0.11,0.1,0.11,0.01
213,0.09,0.1,0.11,0.01
214,0.09,0.1,0.11,0.01
215,0.11,0.1,0.11,0.02
216,0.09,0.1,0.11,0.02
217,0.11,0.1,0.11,0.01
218,0.1,0.1,0.11,0.01
219,0.11,0.1,0.11,0.01
220,0.09,0.1,0.1,0.02
221,0.11,0.1,0.11,0.02
222,0.09,0.1,0.11,0.02
223,0.1,0.1,0.11,0
224,0.1,0.1,0.11,0.01
225,0.09,0.1,0.11,0.01
226,0.09,0.1,0.11,0.01
227,0.1,0.1,0.11,0
228,0.1,0.1,0.11,0.01
229,0.11,0.1,0.11,0.01
230,0.1,0.1,0.11,0.02
231,0.11,0.1,0.11,0.01
232,0.09,0.1,0.11,0.01
233,0.09,0.1,0.11,0.01
234,0.11,0.1,0.11,0.02
235,0.09,0.1,0.11,0.02
236,0.11,0.1,0.11,0.01
237,0.1,0.1,0.11,0.01
238,0.11,0.1,0.11,0.01
239,0.09,0.1,0.1,0.02
240,0.11,0.1,0.1,0
241,0.09,0.1,0.1,0.01
242,0.11,0.1,0.1,0
243,0.1,0.1,0.11,0.01
244,0.1,0.1,0.11,0.01
245,0.09,0.1,0.11,0.01
246,0.11,0.1,0.11,0.01
247,0.11,0.1,0.11,0.01
248,0.1,0.1,0.11,0
249,0.11,0.1,0.11,0
250,0.11,0.1,0.11,0
251,0.11,0.1,0.11,0.01
252,0.1,0.1,0.11,0
253,0.11,0.1,0.11,0.02
254,0.12,0.1,0.11,0.01
255,0.11,0.1,0.1,0
256,0.09,0.1,0.1,0.01
257,0.11,0.1,0.1,0
258,0.1,0.1,0.11,0.01
259,0.1,0.1,0.11,0.01
260,0.09,0.1,0.11,0.01
261,0.11,0.1,0.11,0.01
262,0.11,0.1,0.11,0.01
263,0.1,0.1,0.11,0
264,0.11,0.1,0.11,0
265,0.11,0.1,0.11,0
266,0.11,0.1,0.11,0.01
267,0.1,0.1,0.11,0
268,0.11,0.1,0.11,0.02
269,0.12,0.1,0.11,0.01
270,0.11,0.1,0.1,0
271,0.09,0.1,0.1,0.01
272,0.11,0.1,0.1,0
273,0.1,0.1,0.11,0.01
274,0.1,0.1,0.11,0.01
275,0.09,0.1,0.11,0.01
276,0.11,0.1,0.11,0.01
277,0.11,0.1,0.11,0.01
278,0.1,0.1,0.11,0
279,0.11,0.1,0.11,0
280,0.11,0.1,0.11,0
281,0.11,0.1,0.11,0.01
282,0.1,0.1,0.11,0
283,0.11,0.1,0.11,0.02
284,0.12,0.1,0.11,0.01
285,0.11,0.1,0.1,0
286,0.09,0.1,0.1,0.01
287,0.11,0.1,0.1,0
288,0.1,0.1,0.11,0.01
289,0.1,0.1,0.11,0.01
290,0.09,0.1,0.11,0.01
291,0.11,0.1,0.11,0.01
292,0.11,0.1,0.11,0.01
293,0.1,0.1,0.11,0
294,0.11,0.1,0.11,0
295,0.11,0.1,0.11,0
296,0.11,0.1,0.11,0.01
297,0.1,0.1,0.11,0
298,0.11,0.1,0.11,0.02
299,0.12,0.1,0.11,0.01
300,0.11,0.1,0.11,0.01
301,0.1,0.1,0.11,0
302,0.11,0.1,0.1,0
303,0.09,0.1,0.1,0.01
304,0.11,0.1,0.1,0
305,0.1,0.1,0.11,0.01
306,0.1,0.1,0.11,0.01
307,0.09,0.1,0.11,0.01
308,0.11,0.1,0.11,0.01
309,0.11,0.1,0.11,0.01
310,0.1,0.1,0.11,0
311,0.11,0.1,0.11,0
312,0.11,0.1,0.11,0
313,0.11,0.1,0.11,0.01
314,0.1,0.1,0.11,0
315,0.11,0.1,0.11,0.02
316,0.12,0.1,0.11,0.01
317,0.09,0.1,0.11,0.02
318,0.09,0.09,0.1,0.01
319,0.09,0.1,0.1,0.01
320,0.1,0.1,0.11,0.03
321,0.1,0.1,0.11,0.02
322,0.11,0.1,0.11,0.01
323,0.11,0.1,0.1,0.02
324,0.09,0.1,0.11,0.02
325,0.09,0.1,0.1,0.01
326,0.1,0.1,0.11,0.03
327,0.1,0.1,0.11,0.02
328,0.11,0.1,0.11,0.01
329,0.11,0.1,0.1,0.02
330,0.09,0.1,0.11,0.02
331,0.1,0.1,0.11,0.03
332,0.11,0.1,0.11,0.01
333,0.11,0.1,0.11,0.02
334,0.11,0.1,0.11,0.02
335,0.1,0.1,0.11,0.02
336,0.11,0.1,0.11,0.03
337,0.1,0.1,0.11,0.03
338,0.1,0.1,0.11,0.03
339,0.09,0.1,0.11,0.02
340,0.11,0.1,0.11,0.03
341,0.1,0.1,0.11,0.03
342,0.09,0.1,0.11,0.01
343,0.1,0.1,0.1,0.02
344,0.1,0.1,0.11,0.02
345,0.1,0.1,0.11,0.02
346,0.11,0.1,0.11,0.02
347,0.1,0.1,0.11,0.02
348,0.11,0.1,0.11,0.02
349,0.11,0.1,0.11,0.02
350,0.1,0.1,0.11,0.02
351,0.1,0.1,0.11,0.01
352,0.11,0.1,0.11,0.03
353,0.11,0.1,0.11,0.03
354,0.1,0.1,0.11,0.02
355,0.09,0.1,0.11,0.01
356,0.1,0.1,0.11,0.01
357,0.11,0.1,0.11,0.03
358,0.09,0.1,0.11,0.03
359,0.09,0.1,0.11,0.01
360,0.11,0.1,0.11,0.01
361,0.1,0.1,0.11,0.02
362,0.1,0.1,0.11,0.01
363,0.1,0.1,0.11,0.03
364,0.1,0.1,0.11,0.02
365,0.11,0.1,0.11,0.01
366,0.1,0.1,0.11,0.01
367,0.11,0.1,0.11,0.01
368,0.09,0.1,0.11,0.02
369,0.09,0.1,0.11,0.01
370,0.11,0.1,0.11,0.03
371,0.11,0.1,0.11,0.03
372,0.1,0.1,0.11,0.01
373,0.1,0.1,0.11,0.02
374,0.1,0.1,0.11,0.02
375,0.1,0.1,0.11,0.01
376,0.09,0.1,0.11,0.02
377,0.11,0.1,0.11,0.02
378,0.1,0.1,0.11,0.02
379,0.1,0.1,0.11,0.02
380,0.11,0.1,0.11,0.01
381,0.1,0.1,0.11,0.03
382,0.1,0.1,0.11,0.01
383,0.11,0.1,0.11,0.02
384,0.11,0.1,0.11,0.02
385,0.1,0.1,0.11,0.02
386,0.09,0.1,0.11,0.02
387,0.11,0.1,0.11,0.01
388,0.11,0.1,0.11,0.02
389,0.1,0.1,0.11,0.01
390,0.1,0.1,0.11,0.03
391,0.1,0.1,0.11,0.03
392,0.11,0.1,0.11,0.01
393,0.1,0.1,0.11,0.01
394,0.09,0.1,0.11,0.02
395,0.1,0.1,0.11,0.02
396,0.11,0.1,0.11,0.02
397,0.11,0.1,0.11,0.01
398,0.09,0.1,0.1,0.02
399,0.11,0.1,0.11,0.02
400,0.1,0.1,0.11,0.01
